,title,location,price
0,"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>",Lekki,"2,800,000"
1,"<h3 itemprop=""name"">Luxury 3 Bedroom Flat Newly Completed</h3>",Lekki,"1,800,000"
2,"<h3 itemprop=""name"">3 Bedroom Flat</h3>",Lekki,"2,000,000"
3,"<h3 itemprop=""name"">Fully Serviced 3 Bedroom Apartment With Fitted Kitchen And Bq</h3>",Lekki,"9,000,000"
4,"<h3 itemprop=""name"">Luxury 3 Bedroom Serviced Apartment With Excellent Amenities</h3>",Lekki,"12,000,000"
5,"<h3 itemprop=""name"">Serviced 3-bedroom Apartment (2nd Floor)</h3>",Lekki,"2,800,000"
6,"<h3 itemprop=""name"">Expatriate Luxury 3bedroom Marionette With Bq</h3>",Lekki,"12,000,000"
7,"<h3 itemprop=""name"">Neatly Used 3 Bedroom Flat</h3>",Lekki,"1,600,000"
8,"<h3 itemprop=""name"">Serviced Luxury 3bedroom Flat With A Bq</h3>",Lekki,"7,500,000"
9,"<h3 itemprop=""name"">Luxury 3 Bedroom Flat - Sea View With Good Facilities</h3>",Lekki,"4,000,000"
10,"<h3 itemprop=""name"">3 Bedroom Pent House Office Space</h3>",Lekki,"4,000,000"
11,"<h3 itemprop=""name"">Newly Built Three Bedroom</h3>",Lekki,"650,000"
12,"<h3 itemprop=""name"">Luxury 3 Bedroom Apartment With Excellent Facilities</h3>",Lekki,"14,000,000"
13,"<h3 itemprop=""name"">Luxurious 3 Bedroom Service Apartment</h3>",Lekki,"7,000,000"
14,"<h3 itemprop=""name"">Sweet Spacious 3bedroom Flat</h3>",Lekki,"850,000"
15,"<h3 itemprop=""name"">Luxury 3 Bedroom Flat With Excellent Finishing</h3>",Lekki,"2,200,000"
16,"<h3 itemprop=""name"">Newly Built Three Bedrrom Apartment</h3>",Lekki,"800,000"
17,"<h3 itemprop=""name"">Lovely 3bedroom Flat</h3>",Lekki,"590,000"
18,"<h3 itemprop=""name"">Newly Renovated And Spacious 4 Nos 3 Bedroom Flat All Room Ensuit</h3>",Lekki,"10,800,000"
19,"<h3 itemprop=""name"">Service 3 Bedrooms Apartment At Old Ikoyi Lagos</h3>",Lekki,"10,000,000"
20,"<h3 itemprop=""name"">6 Unit Of 3 Bedroom Flat + Bq, Pool</h3>",Lekki,"3,500,000"
21,"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>,Lekki,""2,800,000""",,
22,"<h3 itemprop=""name"">American Standard Serviced 3bedroom Flat With Room Bq</h3>,Lekki,""2,000,000""",,
23,"<h3 itemprop=""name"">3 Bedroom In Divine Homes In Thomas Estates Ajah</h3>,Ajah,""1,500,000""",,
24,"<h3 itemprop=""name"">Clean 3bedroom Flat</h3>,Ketu,""700,000""",,
25,"<h3 itemprop=""name"">Magnificent 3 Bedroom Flat With Excellent Facilities</h3>,Lekki,""800,000""",,
26,"<h3 itemprop=""name"">3 Bedroom Apartment</h3>,Lekki,""2,000,000""",,
27,"<h3 itemprop=""name"">Three (3) Bedroom Flat</h3>,VI,""3,500,000""",,
28,"<h3 itemprop=""name"">Very Lovely 3 Bedroom Flat</h3>,Surulere,""1,200,000""",,
29,"<h3 itemprop=""name"">Luxury 3 Bedroom Flat With 1 Room Bq</h3>,Lekki,""3,000,000""",,
30,"<h3 itemprop=""name"">3 Bedroom Flat</h3>,Lekki,""2,300,000""",,
