title,location,price
"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>",Lekki,"2,800,000"
"<h3 itemprop=""name"">Lovely 3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Nice 3 Bedroom Apartment</h3>",Lekki,"2,600,000"
"<h3 itemprop=""name"">Newly Built 6 B Nos Luxury 3 Bedroom Apartment</h3>",Ikeja,"1,350,000"
"<h3 itemprop=""name"">3 Bedroom Fully Fitted Apartment With Swimming Pool And Badminton Room</h3>",Ikoyi,"8,000,000"
"<h3 itemprop=""name"">3 Bedroom Fully Fitted Apartment With A Bq And Swimming Pool</h3>",Ikoyi,"7,500,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Apartment</h3>",Ikoyi,"10,000,000"
"<h3 itemprop=""name"">Brand New 3 Bedroom Flat With A Bq</h3>",Lekki,"1,500,000"
"<h3 itemprop=""name"">Clean 3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Executive Exotic Finished 3 Bedroom Flat Wit Pop..</h3>",Ketu,"1,200,000"
"<h3 itemprop=""name"">Clean 3 Bedroom Flat Upstairs</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">Fully Serviced 3 Bedroom Apartment With B.q</h3>",Lekki,"3,500,000"
"<h3 itemprop=""name"">Spacious 3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat</h3>",Lekki,"1,700,000"
"<h3 itemprop=""name"">Exquisitely Furnished 3 Bedroom Apartment</h3>",VI,"4,500,000"
"<h3 itemprop=""name"">Newly Built 3 Bedroom Apartment</h3>",Lekki,"2,500,000"
"<h3 itemprop=""name"">3 Bedroom Flat</h3>",Maryland,"2,000,000"
"<h3 itemprop=""name"">Brand New Tastefully Finished 3 Bedrooms With All Rooms En</h3>",Maryland,"2,000,000"
"<h3 itemprop=""name"">3 Bedroom Flat Newly Renovated</h3>",Ikorodu,"450,000"
"<h3 itemprop=""name"">3 Bedroom Flat</h3>",Lekki,"1,800,000"
"<h3 itemprop=""name"">Elegantly Finished And Fully Fitted Luxury 3-bedroom Maisonette</h3>",VI,"12,000,000"
